listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
???� air jordan 1 low se (size 13) dh1259-400 'denim blue jeans' sneakers ???�,https://www.ebay.com/itm/234240915047?epid=11050250344&_trkparms=ispr%3D1&hash=item3689d8b667:g:MPkAAOSwUKthW7PA&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS22gQ6x0tansgdMn7HCckRPtVaL0Xrn8MzOtaBeN%252BVu285%252FggrYNr2KZJVFWTbahXdFqhnmrwZxK6elDPTnmglrqwn5NeHJWknn2CnzuZZBceNwz%252BAyiAmBcJ4XYw83RYCzgrJzkbbJPr2MBZKTlXgZRaNm%252FkOeihjCmUDOjTJR26MDejo36K0q0vAdP52Obb8YPLkcYFw4Vqasw6cMeQJsm3qs3fzfj79HDFEN12O%252F1E1Vp12Vw2XwM%252B1dK9qx2xF7MzVgukEnObczA9Q1Q1iU41zbumcOB9Y0Lbc7nnbkkJLEellWSZKM4BXu4oxp3Ql6%252BXgH%252FQGUrIL9jU8%252BR5hg9NjkAbZMVLqrC20SC6JD%252BMu9wHgA5Nw6fm7kkDcatgYvF%252Fn9%252FpAqHh5pFsGByNVTjgfRguRtqcaog473ODmlkncA3IqvSAElk138O53%252FdxLokxJ95FyqfCkoP5o3C5T1srV82NkmNlII8gfeBvGKNO1hoD%252BFoEx8YAEFgSWlv1%252F5VJ3Q9xI%252Flb414S%252FNRfk1yLlVb6utrzt1T5gm4JZ1XC2e2UQobhgqV0jf5f4aw39LS3AMR2eIW8jmaqYOGcd%252Bl5HjefyJiPP4O8wERU96hJJcJRh0hm8XCzdM%252BAQDbiG2bhZJg6uz5aJCYYvq4Wp0PIJbAb%252BBH2A%252FHeHq4KejRXTDNMuGiX254ECGTPhHHH46UfoTNeRr1sQj7ykYVzNPVWbkqYu4UcHsn2wGv%252FKkHz4S89U%252FHZvkbtLb36BA4MmLUwtbJXUqn9%252FhNsDP8rEyfVUst6ewRM982PpxutEyLsnBrgdde8LiBu5bUSbEiM%7Cclp%3A2499334%7Ctkp%3ABFBMsKmyspVf,149.99,9.99,Authenticity Guarantee,kp-kickz,99.40%,White,Air Jordan,13,,,,,,,,,,
"????jordan 13 gym red grey white size 10, order in hand.",https://www.ebay.com/itm/174752609454?hash=item28b01134ae:g:eMsAAOSwb7NgjIu-,199.99,7.99,Authenticity Guarantee,todd762010,100.00%,White,Air Jordan,10,,,,,,,,,,
???�air jordan 1 mid se (size 10) dc7294-600 'barcelona sweater' red ???�,https://www.ebay.com/itm/185117554069?hash=item2b19ddb595:g:ixgAAOSw~p1hb4OF,124.99,15.75,Authenticity Guarantee,cfo-duck-fan,100.00%,White,Air Jordan,10,,,,,,,,,,
???�air jordan 1 mid se (size 10) dc7294-600 'barcelona sweater' red patent???�,https://www.ebay.com/itm/234239323871?hash=item3689c06edf:g:8GQAAOSwf3JhW7Hn,139.99,9.99,Authenticity Guarantee,kp-kickz,99.40%,White,Air Jordan,10,,,,,,,,,,
???�air jordan 1 mid se (size 11) dc7294-600 'barcelona sweater' red patent???�,https://www.ebay.com/itm/334185128672?hash=item4dcefc62e0:g:gKcAAOSwv65hbGFr,139.95,5.00,Authenticity Guarantee,ktorok12,100.00%,White,Air Jordan,11,,,,,,,,,,
???�nike air jordan 1 mid shadow red 554724-096 men�??s size 11 ???�,https://www.ebay.com/itm/284493137685?hash=item423d1cc715:g:p0kAAOSwcz1hbN2b,224.97,23.81,Authenticity Guarantee,tarystahnine,100.00%,Red,Air Jordan,11,,,,,,,,,,
???�nike air jordan 1 mid white pine green light smoke grey dc7294-103 men size 11,https://www.ebay.com/itm/274996313680?hash=item40070ebe50:g:DV4AAOSwynBhcvfv,169.99,0.00,Authenticity Guarantee,nivek1er,100.00%,White,Air Jordan,11,,,,,,,,,,
�??air jordan 1 low team red size 11w/10m dc0774-116 bronze eclipse brand new �??,https://www.ebay.com/itm/185111072155?hash=item2b197acd9b:g:HaMAAOSwM3VhanJX,149.00,18.35,Authenticity Guarantee,huynguyen1908,100.00%,Red,Air Jordan,11,,,,,,,,,,
�??air jordan 1 low team red size 9w/8m dc0774-116 bronze eclipse brand new �??,https://www.ebay.com/itm/185111080919?hash=item2b197aefd7:g:HaMAAOSwM3VhanJX,149.00,18.35,Authenticity Guarantee,huynguyen1908,100.00%,Red,Air Jordan,9,,,,,,,,,,
�??air nike air jordan 1 mid linen 554724-082 size 9 men brand new fast ship�??,https://www.ebay.com/itm/185122642749?hash=item2b1a2b5b3d:g:QM8AAOSwl51hNaXe,170.00,18.35,Authenticity Guarantee,huynguyen1908,100.00%,White,Air Jordan,9,,,,,,,,,,
