listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
**new men's adidas adizero boston 10 blue white running | size 11.5 | fz2498 nwb,139.97,0.00,Blue,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**new men's adidas adizero boston 10 blue white running | size 12 | fz2498 nwb,139.97,0.00,Blue,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**new men's adidas adizero boston white red running | size 10.5 | fy4079 nwb,129.97,0.00,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**new** adidas am4 mls ef2302 black red white speedfactory sneakers size 7,119.95,0.00,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
**nike air max 2090 eoi summit white blue black | size 13 | da9357 100 nwb,129.97,0.00,Blue,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**rare new men's adidas nmd r1 | white pink green | size 10 | gx5372 nwb,159.95,0.00,Black,adidas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**ships now** new ds nike jordan 1 mid banned bred size 11 black red 554724-074,199.99,10.00,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
*brand new* adidas hoops 2.0 mid shoes men's size 8 red and black,65.00,15.00,Red,adidas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
*brand new* new balance 550 x aime leon dore evergreen - size 9 bb550ald,240.00,0.00,White,New Balance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*confirmed order* social status x nike free lunch dunk mid ""strawberry milk""",265.00,14.25,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
*dead stock* new balance 997 sport navy/neon size 9,135.00,13.85,Blue,New Balance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*dead stock* new balance 997h black/grey size 10,135.00,15.30,Black,New Balance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*dead stock* new balance 997lbl - blue/yellow - size 7 made in usa (limited edt),150.00,16.50,Blue,New Balance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*dead stock* new balance cm997hax grey/navy size 9,135.00,15.30,Blue,New Balance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*dead stock* size: us13m/14w nike air force 1 ‘07 lv8 peace & unity dm9051-001,150.00,0.00,Black,Nike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*in hand* new balance 550 aime leon dore white grey bb550ale mens size 13,239.00,0.00,White,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*in hand* new balance p550 aime leon dore evergreen bb550ald mens size 10,218.00,10.35,White,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*new ds* nike air jordan 1 retro high '85 og varsity red bq4422-600 sz: 8 - 9,530.00,0.00,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
*new ds* nike air jordan 1 retro high '85 og varsity red bq4422-600 sz: 8 - 9,530.00,0.00,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
*new in box* stray rats new balance 574 red size 12,110.00,0.00,Red,New Balance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*new* adidas court vision 2 red white blue men basketball shoes fy9378 size 10,88.27,0.00,Blue,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
*new* adidas court vision 2 red white blue men basketball shoes fy9378 size 12,88.27,0.00,Blue,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
*new* adidas men's crazy bounce basketball shoe b72768 red white 8,45.99,9.99,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
*new* adidas u path run scarlet & white shoes (size: 10 mens),60.00,5.00,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
*new* ds nike air jordan 1 high retro og pollen us 11 555088-701 black yellow,215.00,13.55,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"*new* men adidas originals 3mc core black (b22713), sz 8.0",48.00,0.00,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas originals continental 80 (b41680), sz 13.0, 100% authentic",68.00,0.00,White,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
