listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
[fv8330] mens adidas ultraboost 20,$139.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fv8553] mens adidas caflaire,$64.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fv8729] mens adidas nmd_r1,$149.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fw8512] mens adidas d.o.n. issue 2,$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fx6615] mens adidas dame 7,$104.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fy0378] mens adidas ultraboost 21,$118.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fy2131] mens adidas swift run x,$64.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[fz1070] mens adidas harden vol. 5 futurenatural,$119.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[g26476] mens adidas five ten 5.10 freerider eps,$100.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[g26523] mens adidas terrex ax3 beta cw,$89.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[g26524] mens adidas terrex ax3 beta mid cw,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[g28965] mens adidas ultraboost ultra boost running sneaker - black white orca,$169.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[s80935] mens adidas terrex tivid mid cp,$109.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
{cg5131} adidas speed trainer 4 *new*,$59.5,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{dl8006} adidas cq1254 dame 4 *new*,$85,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{ee6143} men's adidas originals 3st.003 shoes,$60,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
{fz3189} adidas dame 7 gca *new*,$93.5,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{s79123} men's adidas equipment running *new*,$48,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
“adidas” goletto vi fg j football soccer men shoes black & pink size 6,$25,$8.9,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019 adidas consortium torsion trdc off white core black solar yellow ee7999,$129,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adias venom d.o.n. issue #2 basketball shoes size 9,$75,$11.35,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
adidas - puig - fy7772 - black - size 10 - brand new - skate shoe,$84.99,$10.49,Black,adidas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas “venom” donovan mitchell d.o.n. issue2 marvel shoes mens size 10 with box,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas 032c gsg mule slides black gz5581 men's multi sizes new,$100,$9,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas 3st.004 boost suede skateboarding shoe red black fy0500 mens size 11 nib,$119.98,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas 3st.004 boost suede skateboarding shoes red black fy0500 mens size 10 nib,$119.98,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas 3st.004 men's skateboard shoe vivid red/core black/cloud white size 7,$109,$9.95,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas 4d fusio men's sneakers workout sport gym casual running shoes,$249.95,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
adidas adi-ease by4027 skateboarding shoes black suede mens us 10 new,$73,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adi-ease hundreds la lakers black gum purple gold sz 8,$70,$14,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas adi-ease men’s skateboarding shoes - size 11.5 - black/gum - new in box,$39.99,$0,Black,adidas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adi-ease premiere adv black white skateboarding f37851 (359) men's shoes,$54.99,$21.15,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adi-ease skate shoe mens 5,$34,$11.54,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas adilette boost slides mens shoes size 13 black/white,$74.95,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adipower weightlifting ii men's shoes size 9 fy2423 black/ grey / gum,$79.97,$9.99,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adipower weightlifting ii shoes moss green black new fx0573 (size 10.5),$67.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adipure crazyquick g66811 men size 11.5 and 12,$110,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adidas adizero 5-tool men's metal baseball cleats, black/white, 9",$49.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas adizero 8.0 sk football mens football sneakers shoes casual cleated -,$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
adidas adizero afterburner 3 xeno size 13.5 baseball cleats b42903 brand new,$20,$12,Black,adidas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas adizero afterburner 7 metallic gold/black baseball shoes fv9375 men size,$69,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas adizero boston 8 boost running shoes black white g28861 mens size 11 nib,$119.98,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"adidas adizero boston 9 mens running sneakers shoes - black,yellow",$99.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas adizero club ef2771 black men's mesh with rubber sole running shoes,$80,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"adidas adizero men's 17 football/soccer cleats, 13.5 metallic/purple",$49,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas adizero prime boost running shoes men's size 9 black white b37401,$89.95,$11.35,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"adidas adizero prime ltd mens running sneakers shoes - black,blue",$89.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas adizero pro running men's size 10 shoes solar yellow/core black fy0101,$65,$11.35,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero pro running men's size 11.5 shoes solar yellow/core black fy0101,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero pro running men's size 13 shoes solar yellow/core black fy0101,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero pro running shoes mens size 7.5 yellow/black fy0101,$89.1,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero pro running shoes mens size 9.5 solar yellow black fy0101,$103.49,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero pro 'solar yellow' men's size 11 running shoe core black fy0101,$119.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adidas adizero pro solar yellow/core black fy 0101 size 12 running shoes,$120,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas adizero rc 2.0 mens running sneakers shoes - black,$89.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas advantage men’s athletic tennis shoe black trainers running sneaker,$54.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
adidas advantage tennis - black - men’s size 11.5,$45,$15,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas afterburner 7 md cleats men's,$18,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas alexander wang aw wangbody run boost black size 5 under retail msrp $220,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas alphabounce core black men's size 10 model b42744,$80,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas alphabounce ek men's running shoes training jogging black nwt gy5403,$96.21,$9.99,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas alphabounce hpc ams mens running sneakers shoes - black - size 8 d,$69.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas alphabounce+ parley m g28372 men’s size 8 running sneakers,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
adidas alphabounce+ parley m g28372 men’s size 9 running sneakers,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
adidas alphatorsion boost fv6170 running training sneakers size 9.5 m,$103.46,$11.35,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
adidas alphatorsion boost m black men's sz 13 fv6170,$110,$10.15,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas alphatorsion m running shoes men's sneakers white/black eg9600 us 7-12,$70,$14.25,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas alphatorsion men's running core black - footwear white authentic new us,$134.97,$0,Black,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adidas am4 got mens running sneakers shoes - black,$69.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas am4 marvel 80 vol. 2 mens running sneakers shoes - black - size 9 d,$149.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas americana vin g65588 brown/black/coral gonzales skateboarding men's shoes,$49.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas as d rose 8 a mens basketball sneakers shoes casual - black - size 12.5,$122.15,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
adidas as d rose 8 jq pe mens basketball sneakers shoes casual - black -,$129.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
adidas as don issue 1 b syn mens basketball sneakers shoes casual - black -,$69.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
adidas astrarun mens running sneakers shoes - black - size 6.5 d,$44.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"adidas astrarun mens running sneakers shoes - black,pink",$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
adidas asweerun 2.0 black white men running casual shoes sneakers trainer fw1676,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
adidas asweerun black running sneakers course a pied f36331 size 13,$50,$12.7,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
adidas athlete sports black white lace up cleats size 13 football men shoes,$19.99,$8.6,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas attitude hi big sean floral size 9 brand new casual black,$209,$15.5,Black,adidas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adidas aw wangbody run lace up - kids boys sneakers shoes casual - black -,$89.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
adidas aweerun men's running shoes training sneakers casual black eg3172,$74.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
adidas basketball shoe men's black/gold new without box,$124.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adidas basketball shoe men's white/black new without box,$119.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adidas bb2884 nmd r1 nomad men women running shoes gray red black wool winter,$119,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas bc0972 men's terrex eastrail hiking shoes grey four/core black/grey three,$59.98,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas blondey superstar core black h01022 size 10.5,$118,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas boost x9000l4 grey green black fw8385 sz 9.5 running shoes,$70,$14.25,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"adidas box hog 3 boxing mens sneakers shoes casual - black,grey",$99.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
adidas box hog 3 shoes men's,$70,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas bravada white black men skate boarding casual shoes sneakers fv8086,$100,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
adidas breaknet black white men casual lifestyle shoes sneakers trainers fx8708,$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
adidas busenitz vulc black white black skateboarding g65824 (122) men's shoes,$69.99,$21.15,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas busenitz vulc ii shoes men's,$35.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas busenitz vulc ii suede shoes men's size 9 ef8472,$53,$9.99,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas byw2 x brandon ingram mens basketball sneakers shoes casual - black -,$69.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
adidas campus 80s x recouture fy6755 dark blue/white/core black shoes size 8!,$114.95,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adidas city cup black leather ice sole sz 10,$70,$14,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adidas climacool 02/17 mens bz0249 black white running shoes nwob size 8,$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
adidas climacool vento mens running sneakers shoes - black,$139.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
