listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_brand,listing_color,listing_model,listing_size
"adidas originals nite jogger mens shoes size 8, color: grey/red/white",https://www.ebay.com/itm/133896529718?hash=item1f2cdae736:g:f4UAAOSwkr1hXahn,89.9,0,,myshoespot,https://www.ebay.com/usr/myshoespot?_trksid=p2047675.l2559,98.4% Positive feedback,adidas,White,Nite Jogger,8
adidas originals nite jogger running shoes black/blue men's size 9,https://www.ebay.com/p/24039792241?iid=154418244575,79.99,11.35,,,,,adidas,Blue,Nite Jogger,9
adidas originals nite running shoes men's size 9 red ee5883,https://www.ebay.com/itm/303642581261?epid=27039791586&_trkparms=ispr%3D1&hash=item46b282190d:g:S4QAAOSw25dfKIEy&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSsTrsimSq2LqQEOMrEDGZBXfWU%252Fhduuw560tmiy5wwVsNNigfwpy%252F0m8wo8kQtv9yKRWkRDd45StZZgLklgrWrkbtEk61brYFRAA0lnvrYfFpFHOUetPucYXVdaIqH2IncgGK9SRPOU7JEust1iaPIPP3PgJ7q7GoPUd%252FyFdZ9mjSpdTMCvR%252FEAz867ZNJTGjhJDqc2xpSDG7p8sen0GXnUDBtwam9EGcLEPbpyaOyqxV%252BUnxxoaWog%252B1MHg%252BwZBpcKJj47ozYY0vH%252Fn2%252FXMs0Kw699VOPue6Qa6bQlJyVIsR5jtgoJen%252FNF2JZEv3g4hgaUsYb9%252BzH0ndCsKCzMMdg3ULsp4KVBEya2mY1%252FOj7U9L4ueHD81aseOUujws6vHaiaCNi%252FYboJagPDkh0kyT3%252FwJo8XeHU994z9gaPkq%252FBLdBm7GRfdOtFXM9vYQ1v4bwHGw5OSETVO4jK4YwxGzUdNm4izYyfv1fxprM2V9hMBA1flyt%252BwzsnVoQctQTlyDjY4WZ2OxKCC7IJD0v7mrph0u%252B1%252FdnKjRXC3C9ymR9DkmnCm8snO7%252FFF%252B6LfSfAP4TZfiHNSwlS0oc6PgoIpW78vURnp1eqc6G44qJokuRASAKnnms0xlf54IxEb1SEssh%252BVS90BUI9E3EaiOSWID%252BQniPpoxeCExZgabslaVa3sGD9Y0UY3pE23sYpqLpsMULYL3iPeVYOAXGMvPyLDaz6MddFSyDDdZLg9g01Jn9ukJTq9P2iVY%252Bi0ITPnZw%252FUNqJLhjNh1zwoX8L3JCr3f2WUGg4%252Bu8i7JxdAn5U6b50ZNhG62pC1V5P8ykC1prxd%7Cclp%3A2499334%7Ctkp%3ABFBMpMeitZZf,67.5,0,,shoestrong,https://www.ebay.com/usr/shoestrong?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,9
adidas originals niteball [s24137] men casual shoes white / pulse aqua,https://www.ebay.com/itm/174924505141?hash=item28ba502035:g:iUkAAOSwBAVhNJmr&var=474072857507,178.95,0,,kixpress,https://www.ebay.com/usr/kixpress?_trksid=p2047675.l2559,97.8% Positive feedback,adidas,White,,
adidas originals niteball [s24138] men casual shoes white / black / purple,https://www.ebay.com/itm/174924505183?hash=item28ba50205f:g:dE4AAOSwyzlhNJog&var=474072857538,178.95,0,,kixpress,https://www.ebay.com/usr/kixpress?_trksid=p2047675.l2559,97.8% Positive feedback,adidas,White,,
adidas originals nizza (men’s size 12) tramar skate sneakers canvas shoes,https://www.ebay.com/itm/303994702685?hash=item46c77f0b5d:g:RtsAAOSwM1Ze1~y0,49.97,0,,sneaker_warehouse_m247,https://www.ebay.com/usr/sneaker_warehouse_m247?_trksid=p2047675.l2559,98.9% Positive feedback,adidas,Red,,12
adidas originals nizza hi dl black green red orange white men casual shoe gz2653,https://www.ebay.com/itm/294183159770?hash=item447eaec7da:g:5NkAAOSwgetgpLcA&var=593018036563,100,0,,id4shoes,https://www.ebay.com/usr/id4shoes?_trksid=p2047675.l2559,99.7% Positive feedback,adidas,Red,,
adidas originals nizza hi rf [f34057] men casual shoes black/white,https://www.ebay.com/p/18039799379?iid=203211976356&var=503642614857,128.95,0,,,,,adidas,White,,
adidas originals nizza lo rf white trainers skateboarding shoes canvas sneakers,https://www.ebay.com/itm/403159729055?hash=item5dde31439f:g:1MsAAOSw99ReDxGB&var=673270048413,71.21,20.74,,trade-sports,https://www.ebay.com/usr/trade-sports?_trksid=p2047675.l2559,99.1% Positive feedback,adidas,White,,
adidas originals nizza rf men’s athletic trainer skate casual sneaker black shoe,https://www.ebay.com/itm/304097926339?hash=item46cda61cc3:g:yccAAOSw1JphDvLD&var=603226943045,52.99,0,,sneaker_warehouse_m247,https://www.ebay.com/usr/sneaker_warehouse_m247?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,,
adidas originals nizza rf shoes collegiate burgundy m6/w7,https://www.ebay.com/itm/293546842988?hash=item4458c15b6c:g:qkwAAOSw35ZeleSd,70,5,,denny143,https://www.ebay.com/usr/denny143?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,
adidas originals nizza rf shoes collegiate burgundy m9/w10,https://www.ebay.com/itm/293547737972?hash=item4458cf0374:g:qkwAAOSw35ZeleSd,70,5,,denny143,https://www.ebay.com/usr/denny143?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,
adidas originals nizza rf shoes men's,https://www.ebay.com/itm/154625361911?hash=item240063c7f7:g:~HQAAOSw-mxhTrRt&var=454705484905,56,0,,adidas_official,https://www.ebay.com/usr/adidas_official?_trksid=p2047675.l2559,97.8% Positive feedback,adidas,White,,
adidas originals nizza trefoil white black men unisex casual shoe sneaker fw5184,https://www.ebay.com/p/24042662913?iid=294303446566&var=592964534512,100,0,,,,,adidas,White,,
adidas originals nizza x disney sport goofy shoes white men's trainers sneakers,https://www.ebay.com/itm/363581591971?hash=item54a726d1a3:g:b~sAAOSwJHZhZ~cV&var=632806445185,63.54,20.55,,trade-sports,https://www.ebay.com/usr/trade-sports?_trksid=p2047675.l2559,99.1% Positive feedback,adidas,White,,
adidas originals nmd cs1 parley pk shoes black / blue mens size 11 us nib ac8597,https://www.ebay.com/p/17039794817?iid=283223892381,91.26,21.15,,,,,adidas,Blue,NMD,11
adidas originals nmd r1 beijing bj red yellow white fy1262 men's shoes,https://www.ebay.com/p/22043408083?iid=254899498912&var=554752863972,110,11.5,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 beijing bj red yellow white mens size 13 deadstock,https://www.ebay.com/p/16043403222?iid=154126731127,85,12,,,,,adidas,Red,NMD,13
adidas originals nmd r1 boost scarlet red white gym workout shoes men's size 9,https://www.ebay.com/p/2316674993?iid=353719207123,105,17.95,Authenticity Guarantee,,,,adidas,Red,NMD,9
adidas originals nmd r1 boost scarlet red/white new sz 9 h01916,https://www.ebay.com/p/2316674993?iid=203595569883,100,0,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 boost scarlet red/white newsize9 h01916,https://www.ebay.com/p/2316674993?iid=203595569883,100,0,Authenticity Guarantee,,,,adidas,Red,,
adidas originals nmd r1 carbon cargo men's ee5105 black olive japan rare,https://www.ebay.com/p/21039795438?iid=224322038445&var=523114076977,115,0,,,,,adidas,Black,NMD,
adidas originals nmd r1 college navy blue white black knit fy5983 running shoes,https://www.ebay.com/p/11047360577?iid=174877976266&var=474042247157,100,0,Authenticity Guarantee,,,,adidas,Blue,NMD,
adidas originals nmd r1 college navy blue white fy5983 running shoes (no lid) 11,https://www.ebay.com/p/7047372099?iid=144229327256,100,13,Authenticity Guarantee,,,,adidas,Blue,NMD,
adidas originals nmd r1 j triple red scarlet fw0706 youth size 4y-7y,https://www.ebay.com/itm/353653525996?hash=item5257648dec:g:6ksAAOSw~ZdhL-dr&var=622990048127,89.99,0,,soleextraordinaire,https://www.ebay.com/usr/soleextraordinaire?_trksid=p2047675.l2559,99% Positive feedback,adidas,Red,NMD,
adidas originals nmd r1 men’s shoes sz 8 scarlet white h01916,https://www.ebay.com/p/9045624339?iid=393551823314,95,0,,,,,adidas,Red,NMD,
adidas originals nmd r1 men’s shoessize8 scarlet white h01916,https://www.ebay.com/p/9045624339?iid=393551823314,95,0,,,,,adidas,Red,,
adidas originals nmd r1 mens casual shoe focus blue - black - ambient sky new us,https://www.ebay.com/itm/265311037179?var=565165173754&hash=item3dc5c526fb:g:jVgAAOSwE11hPtEe,194.99,0,Authenticity Guarantee,t-maya,https://www.ebay.com/usr/t-maya?_trksid=p2047675.l2559,99.2% Positive feedback,adidas,Blue,NMD,
adidas originals nmd r1 men's runner ee5107 core black solar red japan rare,https://www.ebay.com/p/11039789031?iid=224152582548&var=522934528097,140,0,,,,,adidas,Black,NMD,
adidas originals nmd r1 men's sneakers running shoes gym casual sport blue,https://www.ebay.com/itm/265332639004?var=565179638661&hash=item3dc70ec51c:g:MZQAAOSwnylhUFS5,189.95,0,Authenticity Guarantee,luxury-mall,https://www.ebay.com/usr/luxury-mall?_trksid=p2047675.l2559,97% Positive feedback,adidas,Blue,NMD,
adidas originals nmd r1 men's sneakers running shoes gym casual sport white,https://www.ebay.com/itm/265371346113?var=565207594352&hash=item3dc95d64c1:g:e44AAOSwf3dhG4~0,189.95,0,Authenticity Guarantee,luxury-mall,https://www.ebay.com/usr/luxury-mall?_trksid=p2047675.l2559,97% Positive feedback,adidas,White,NMD,
adidas originals nmd r1 primeblue triple black men's lifestyle sneakers shoes,https://www.ebay.com/p/27048275757?iid=114966854450&var=415083463072,127.2,14.95,,,,,adidas,Black,NMD,
adidas originals nmd r1 running shoes mens 14 h01916 scarlet red boost new,https://www.ebay.com/p/12045621507?iid=255177367281,124.99,0,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 shoes new authentic scarlet/white/black h01916 mens 11,https://www.ebay.com/p/12045621035?iid=284341288395,105.87,0,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 shoes new authentic scarlet/white/black h01916 mens 8,https://www.ebay.com/p/9045624339?iid=353542975979,110,0,Authenticity Guarantee,,,,adidas,White,NMD,
"adidas originals nmd r1 spectoo gray red sneakers h67407, men's size 13 shoes",https://www.ebay.com/itm/154661032642?hash=item24028412c2:g:~UQAAOSwdFlhcCij,109.99,10,Authenticity Guarantee,beskicks,https://www.ebay.com/usr/beskicks?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,NMD,13
"adidas originals nmd r1 spectoo gray red sneakers h67407, men's size 8 shoes",https://www.ebay.com/itm/154563880592?hash=item23fcb9a690:g:BMsAAOSwTb1hEcNC,116.99,10,Authenticity Guarantee,beskicks,https://www.ebay.com/usr/beskicks?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,NMD,8
adidas originals nmd r1 tokyo gold white black red gum fy1159 mens size 8,https://www.ebay.com/p/11042111782?iid=265072961826,110,0,Authenticity Guarantee,,,,adidas,Red,NMD,8
adidas originals nmd r1 v2 gold red blue finish line exclusive fz4825 us9 uk9,https://www.ebay.com/p/9049405519?iid=203553730454,129,22.65,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 v2 mens casual shoe black - blue - white size 8,https://www.ebay.com/p/20047372205?iid=224527038618,130,10,Authenticity Guarantee,,,,adidas,Blue,NMD,8
adidas originals nmd r1 v2 paris 2020 fy2070 blue red black running men's sz 11,https://www.ebay.com/p/11040602736?iid=274830065324,106.24,0,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd r1 v2 paris 2020 fy2070 blue red black running men'ssize11,https://www.ebay.com/p/11040602736?iid=274830065324,106.24,0,Authenticity Guarantee,,,,adidas,Red,,
adidas originals nmd r1.v2 paris 2020 fy2070 blue red black size 10 new,https://www.ebay.com/p/18040611288?iid=284371408579,100,0,Authenticity Guarantee,,,,adidas,Red,NMD,10
adidas originals nmd r1.v2 paris 2020 fy2070 blue red black size 11 new,https://www.ebay.com/p/11040602736?iid=284371410283,100,0,Authenticity Guarantee,,,,adidas,Red,NMD,11
adidas originals nmd_r1 [gx5372] men women casual shoes white / wild teal,https://www.ebay.com/itm/185004144923?hash=item2b131b391b:g:o4cAAOSwZ2dhHK4u&var=692785599289,214.95,0,,kixpress,https://www.ebay.com/usr/kixpress?_trksid=p2047675.l2559,97.8% Positive feedback,adidas,White,NMD,
adidas originals nmd_r1 black green red boost men women lifestyle shoes ef4260,https://www.ebay.com/p/21044372929?iid=313196751983&var=612498194652,119.99,0,,,,,adidas,Red,NMD,
adidas originals nmd_r1 'blue bird' men's size 11 cloud white/grey two gy1349,https://www.ebay.com/itm/185096368748?hash=item2b189a726c:g:a4MAAOSwwehhYPF1,129.99,0,Authenticity Guarantee,cdg1991,https://www.ebay.com/usr/cdg1991?_trksid=p2047675.l2559,100% Positive feedback,adidas,Blue,NMD,11
adidas originals nmd_r1 boost eggplant black supplier colour men fv8732 sz 10,https://www.ebay.com/p/15042122050?iid=133781651522,119.95,0,Authenticity Guarantee,,,,adidas,Black,NMD,
adidas originals nmd_r1 boost eggplant black supplier colour men fv8732size10,https://www.ebay.com/p/15042122050?iid=133781651522,119.95,0,Authenticity Guarantee,,,,adidas,Black,,
adidas originals nmd_r1 boost watercolor white blue pink men unisex shoes gx5372,https://www.ebay.com/p/19048579032?iid=363403124378&var=632776771433,139.99,0,,,,,adidas,Blue,NMD,
adidas originals nmd_r1 'focus blue' men's size 9 black/white gw5033 casual,https://www.ebay.com/p/26039804714?iid=185096135462,145,0,Authenticity Guarantee,,,,adidas,Blue,NMD,9
adidas originals nmd_r1 fv5258 red/black men's running shoes,https://www.ebay.com/p/9039794628?iid=303756614138&var=602985012187,129.99,9.3,Authenticity Guarantee,,,,adidas,Black,NMD,
"adidas originals nmd_r1 fy1162 ""los angeles"" navy men's running casual shoes",https://www.ebay.com/p/15042122761?iid=373701351165&var=642737292996,110,9.5,Authenticity Guarantee,,,,adidas,Red,NMD,
"adidas originals nmd_r1 fy1262 ""beijing"" red/yellow men's running casual shoes",https://www.ebay.com/p/22043408083?iid=373701363857&var=642737322880,120,0,Authenticity Guarantee,,,,adidas,Red,NMD,
adidas originals nmd_r1 fy9017 sneakers men's sz 10 nib scarlet triple red,https://www.ebay.com/itm/194165626540?hash=item2d352c56ac:g:UYUAAOSwIHFgsRgT,100,0,Authenticity Guarantee,boscards,https://www.ebay.com/usr/boscards?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,NMD,
adidas originals nmd_r1 fy9017 sneakers men'ssize10 nib scarlet triple red,https://www.ebay.com/itm/194165626540?hash=item2d352c56ac:g:UYUAAOSwIHFgsRgT,100,0,Authenticity Guarantee,boscards,https://www.ebay.com/usr/boscards?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,
adidas originals nmd_r1 mens shoes,https://www.ebay.com/itm/194441650894?var=494556161175&hash=item2d45a022ce:g:sh4AAOSwTcphae0X,119.9,0,Authenticity Guarantee,myshoespot,https://www.ebay.com/usr/myshoespot?_trksid=p2047675.l2559,98.4% Positive feedback,adidas,Black,NMD,
adidas originals nmd_r1 pk black white - by1887 -size 11 new,https://www.ebay.com/p/20039802103?iid=133905910076,225,17,Authenticity Guarantee,,,,adidas,White,NMD,11
adidas originals nmd_r1 running shoes fv9017 scarlet red men’s size 10,https://www.ebay.com/p/6039807157?iid=393412897455,179.99,0,Authenticity Guarantee,,,,adidas,Red,NMD,10
adidas originals nmd_r1 running shoes fv9017 scarlet red men’s size 11,https://www.ebay.com/p/26039806679?iid=393412898543,179.99,0,Authenticity Guarantee,,,,adidas,Red,NMD,11
adidas originals nmd_r1 spectoo boost black grey red men casual lifestyle fz3204,https://www.ebay.com/itm/363402581422?hash=item549c7b55ae:g:aj4AAOSwANZgpHow&var=632769590440,144.99,0,,id4shoes,https://www.ebay.com/usr/id4shoes?_trksid=p2047675.l2559,99.7% Positive feedback,adidas,Red,NMD,
